collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;class
не раз;6836;440;1;0.043478260869565216;1;1.3617278360175928;-0.009406977738234845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.0529336389773603;-2.0529336389773603;-3.149488873867038;0.0001462843768285547;-11.828929827651486;1.3795577137969567e-06;0;0.00819672131147541;0;0;0.00411522633744856;0;0;0;1.0;0;-142688.34403348432;-132760.1906460412;2;0
не учитывать;6836;84;7;0.17391304347826086;2;5.317674912827414;1.2503723284183486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.143463573826143;8.758173417941352;2.346337248475091;0.001023990637799883;-8.949201400466483;1.3795577137969567e-06;0;0.18181818181818182;0;0;0.1;0;0;0;1.0;0;-72432.6406605482;-54753.271173274145;3;1
незадолго до;0;922;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0;2.7591154275939134e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.414213562373095;0;-131506.8025107494;-148262.62284570318;1;0
некоторые образ;87;947;3;0.13043478260869565;1;2.6538197438937914;-0.08404719628677548;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.7221611456274815;7.892086147069794;1.6664289563013894;0.0031678986272439284;-7.429057969593778;1.3795577137969567e-06;0;0.00784313725490196;0;0;0.003937007874015748;0;0;0;1.0;0;-65110.215238580226;-54423.432190302614;3;0
несколько раз;883;440;29;0.30434782608695654;1;14.982264084096744;10.785159964939032;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.757714410177885;15.47367640043303;5.285634749622746;0.03284258210645526;-4.511616351151105;2.7591154275939134e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;0;-32851.962703964484;-16327.029657090783;4;0
несмотря на;59;8849;58;0.5217391304347826;1;16.38770221825815;14.278638777075072;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6.331401987730907;18.047363977986052;7.521199034874399;0.006554412928014465;-6.262904847660217;1.3795577137969567e-06;0;0;0;0;0.013513513513513514;0;0;0;1.0;1;-36315.27202516557;-18141.144063434203;4;0
обрабатывать дать;170;3851;9;0.34782608695652173;1;4.127740641230844;-0.27945793448459505;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.3168794137310638;9.656729416615688;2.698948317169515;0.0023370553103090105;-7.803413619358048;4.13867314139087e-06;0;0;0;0;0.1;0;0;0;1.7320508075688774;1;-64417.55337434;-46672.21609047164;1;0
общий число;885;1590;9;0.2608695652173913;2;5.252189270705543;0.844990694990104;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2129430625236735;8.552793065408299;2.3529184543435373;0.005660377358490566;-7.103287808412022;1.3795577137969567e-06;0;0;0;0;0.016129032258064516;0;0;0;1.0;0;-63329.084730533956;-44363.343209670915;4;1
обычный путём;424;133;0;0.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.1;0;0;0;1.0;0;-132001.5609852067;-148757.38132016046;1;0
оказывать поддержка;53;408;4;0.08695652173913043;1;4.242791361414447;1.055249741043292;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.067016959688743;11.067016959688743;1.9850842219984273;0.00980392156862745;-5.848622940429338;2.7591154275939134e-06;0;0;0;0;0.019230769230769232;0;0;0;1.0;1;-44825.11778583106;-37436.72456726877;1;0
